Location,Tender Value in ₹,Tender Count
Nandahandi,"3,185,757.00",1
Laxmipur,"3,100,000.00",1
Brajrajnagar Municipal Area,"3,080,000.00",2
Umerkote,"2,944,476.00",1
Tentulikhunti,"2,920,074.00",1
"Delta, Bbsr-12","2,822,253.00",7
Gwd Division Danipali Budharaja Sambalpur,"2,752,656.00",2
Paikmal Market Yard,"2,729,919.00",1
Berhampur_Patrachudi,"2,655,094.00",1
Deogarh,"2,649,623.00",2
Padampur,"2,614,493.00",1
Khandapada Block,"2,452,000.00",2
"Panchayat Samiti,Sukinda","2,425,853.00",1
Jarda,"2,340,899.00",1
O/O The Se Sambalpur R And B Division-I,"2,300,000.00",1
Pithaguda,"2,297,737.00",1
Kendujhar,"2,232,206.00",1
Danagadi Jajpur,"2,066,000.00",1
Berhampur_ Kharkharia,"1,999,211.00",2
Berhampur_ Pandiri,"1,978,940.00",1
Jagatsinghpur,"1,932,184.00",2
Bijepur Nac,"1,904,049.00",1
Deputy Director Geology Gwd Angul,"1,779,600.00",1
Nurtanga,"1,779,275.00",1
Subalaya,"1,747,009.00",1
Berhampur_Chtikarapada,"1,740,447.00",1
Berhampur_Goudagaon,"1,740,362.00",1
Ward No-3,"1,694,919.00",1
Kharriar,"1,589,999.00",1
"Deputy Director, Geology Gwd Division-Ii Bbsr","1,573,000.00",1
Kamakhyanagar Nac,"1,401,080.00",2
"Executive Officer,Nac Kesinga","1,339,375.00",1
"Smc, Sambalpur","1,336,537.00",1
Berhampur_Khariaguda,"1,327,109.00",1
Berhampur_Dhepapentha,"1,327,092.00",1
Executive Engineer M I Divn Ganjam Ii Berhampur,"1,301,000.00",1
Gwd Division Ii Unit V Bhubaneswar,"1,280,000.00",1
Paralakhemundi,"1,237,676.00",1
Nac Odagaon,"1,035,739.00",3
Bolangri,"1,025,100.00",1
Berhampur_ Badabaranga,"991,902.00",1
Badampahar,"877,192.00",1
Nimapara,"841,671.00",2
Lekhanpur Salipur,"827,000.00",1
Balasore Municipality,"683,220.00",1
Berhampur_Mahisanpur,"569,183.00",1
Kendrapara,"529,287.00",1
Berhampur_K Nuagaon,"519,821.00",1
"Baripada, Mayurbhanj","443,000.00",2
Patnagarh,"381,834.00",1
Tikrapada,"355,493.00",1
Bangiriposi,"349,999.00",1
Balangir Municipality,"300,000.00",1
O/O Serw Division Boudh,"130,362.00",1
Ward No-4,"97,740.00",1
"Gochara (Janakdihi) In Sambalpur, Odisha",1.00,1
In The District Of Cuttack,0.00,1
